Date,AdjClosePrice,EMA12,EMA26,MACD,Signal,isBuy,isSell
7/5/11,265.954,251.873,253.347,-1.47458,-4.18612,0,0
7/6/11,267.413,254.264,254.389,-0.125666,-3.37403,0,0
7/7/11,273.027,257.15,255.77,1.38048,-2.42313,0,0
7/8/11,265.73,258.47,256.508,1.96262,-1.54598,0,0
7/11/11,263.377,259.225,257.016,2.20867,-0.795051,0,0
7/12/11,266.739,260.381,257.737,2.64444,-0.107153,0,0
7/13/11,268.862,261.686,258.561,3.12506,0.539291,0,0
7/14/11,264.206,262.074,258.979,3.09464,1.05036,0,0
7/15/11,298.512,267.679,261.907,5.77218,1.99473,0,0
7/18/11,297.173,272.217,264.52,7.6974,3.13526,0,0
7/19/11,300.975,276.641,267.22,9.42128,4.39246,0,0
7/20/11,297.378,279.832,269.454,10.3776,5.5895,0,0
7/21/11,303.192,283.425,271.953,11.4725,6.76609,0,0
7/22/11,308.807,287.33,274.683,12.6474,7.94234,0,0
7/25/11,309.181,290.692,277.238,13.4536,9.0446,0,0
7/26/11,310.95,293.809,279.735,14.0731,10.0503,0,0
7/27/11,303.307,295.27,281.482,13.7883,10.7979,0,0
7/28/11,305.165,296.792,283.236,13.5564,11.3496,0,0
7/29/11,301.544,297.523,284.592,12.9312,11.6659,0,0
8/1/11,303.082,298.379,285.962,12.4168,11.8161,0,0
8/2/11,295.905,297.998,286.698,11.2997,11.7128,0,1
8/3/11,300.285,298.35,287.705,10.6452,11.4993,0,0
8/4/11,288.472,296.83,287.762,9.06866,11.0132,0,0
8/5/11,289.231,295.661,287.87,7.79073,10.3687,0,0
8/8/11,272.738,292.134,286.749,5.38499,9.37194,0,0
8/9/11,286.419,291.255,286.725,4.53018,8.40359,0,0
8/10/11,274.231,288.636,285.8,2.83657,7.29018,0,0
8/11/11,280.785,287.428,285.428,2.00014,6.23218,0,0
8/12/11,281.604,286.532,285.145,1.38736,5.26321,0,0
8/15/11,278.337,285.271,284.641,0.630863,4.33674,0,0
8/16/11,269.231,282.804,283.499,-0.695422,3.33031,0,0
8/17/11,266.309,280.266,282.226,-1.95971,2.27231,0,0
8/18/11,252.188,275.946,280.001,-4.05437,1.00697,0,0
8/19/11,245.215,271.219,277.424,-6.20554,-0.435531,0,0
8/22/11,248.837,267.775,275.306,-7.53132,-1.85469,0,0
8/23/11,259.151,266.448,274.11,-7.66139,-3.01603,0,0
8/24/11,261.384,265.669,273.167,-7.49787,-3.9124,0,0
8/25/11,259.761,264.76,272.174,-7.41381,-4.61268,0,0
8/26/11,263.167,264.515,271.507,-6.99171,-5.08849,0,0
8/29/11,269.271,265.247,271.341,-6.09441,-5.28967,0,0
8/30/11,270.08,265.99,271.248,-5.25739,-5.28321,1,0
8/31/11,270.21,266.64,271.171,-4.53134,-5.13284,0,0
9/1/11,265.984,266.539,270.787,-4.24795,-4.95586,0,0
9/2/11,262.158,265.865,270.148,-4.28273,-4.82124,0,0
9/6/11,260.83,265.09,269.457,-4.36717,-4.73042,0,0
9/7/11,266.749,265.345,269.257,-3.91138,-4.56661,0,0
9/8/11,267.213,265.633,269.105,-3.47265,-4.34782,0,0
9/9/11,262.163,265.099,268.591,-3.49219,-4.17669,0,0
9/12/11,264.796,265.052,268.31,-3.2577,-3.9929,0,0
9/13/11,264.496,264.967,268.028,-3.06078,-3.80647,0,0
9/14/11,265.77,265.09,267.86,-2.77,-3.59918,0,0
9/15/11,271.009,266.001,268.094,-2.09263,-3.29787,0,0
9/16/11,273.067,267.088,268.462,-1.37391,-2.91308,0,0
9/19/11,273.062,268.007,268.803,-0.795556,-2.48957,0,0
9/20/11,273.042,268.782,269.117,-0.334955,-2.05865,0,0
9/21/11,269.331,268.866,269.133,-0.266325,-1.70018,0,0
9/22/11,260.07,267.513,268.461,-0.948272,-1.5498,0,0
9/23/11,262.493,266.741,268.019,-1.2785,-1.49554,0,0
9/26/11,265.68,266.578,267.846,-1.26843,-1.45012,0,0
9/27/11,269.401,267.012,267.961,-0.949239,-1.34994,0,0
9/28/11,264.156,266.573,267.679,-1.10673,-1.3013,0,0
9/29/11,263.487,266.098,267.369,-1.27089,-1.29522,0,0
9/30/11,257.263,264.739,266.62,-1.88152,-1.41248,0,1
10/3/11,247.513,262.089,265.205,-3.11628,-1.75324,0,0
10/4/11,250.7,260.336,264.13,-3.79396,-2.16138,0,0
10/5/11,252.098,259.069,263.239,-4.1701,-2.56313,0,0
10/6/11,257.098,258.766,262.784,-4.01841,-2.85418,0,0
10/7/11,257.303,258.541,262.378,-3.83744,-3.05083,0,0
10/10/11,268.317,260.045,262.818,-2.7733,-2.99533,1,0
10/11/11,271.319,261.779,263.448,-1.6685,-2.72996,0,0
10/12/11,273.977,263.656,264.228,-0.571921,-2.29835,0,0
10/13/11,279.216,266.05,265.338,0.711729,-1.69634,0,0
10/14/11,295.545,270.587,267.576,3.0119,-0.75469,0,0
10/17/11,290.915,273.715,269.304,4.41033,0.278314,0,0
10/18/11,294.961,276.983,271.205,5.77846,1.37834,0,0
10/19/11,290.06,278.995,272.602,6.39361,2.3814,0,0
10/20/11,291.544,280.926,274.005,6.92105,3.28933,0,0
10/21/11,294.951,283.083,275.556,7.52717,4.1369,0,0
10/24/11,297.913,285.365,277.212,8.15256,4.94003,0,0
10/25/11,291.289,286.276,278.255,8.02126,5.55628,0,0
10/26/11,292.863,287.29,279.337,7.9525,6.03552,0,0
10/27/11,299.036,289.097,280.796,8.3005,6.48852,0,0
10/28/11,299.771,290.739,282.202,8.53714,6.89824,0,0
10/31/11,296.024,291.552,283.226,8.3264,7.18387,0,0
11/1/11,289.036,291.165,283.656,7.50895,7.24889,0,0
11/2/11,292.118,291.312,284.283,7.02878,7.20487,0,1
11/3/11,298.452,292.41,285.333,7.07773,7.17944,0,0
11/4/11,297.773,293.235,286.254,6.98123,7.1398,0,0
11/7/11,303.862,294.87,287.558,7.31179,7.1742,1,0
11/8/11,305.865,296.562,288.914,7.64724,7.2688,0,0
11/9/11,300.175,297.118,289.748,7.36906,7.28885,0,0
11/10/11,297.243,297.137,290.304,6.83323,7.19773,0,1
11/11/11,303.872,298.173,291.309,6.86431,7.13105,0,0
11/14/11,306.194,299.407,292.411,6.99572,7.10398,0,0
11/15/11,307.973,300.725,293.564,7.16081,7.11535,1,0
11/16/11,305.43,301.449,294.443,7.00573,7.09342,0,1
11/17/11,300.135,301.247,294.865,6.38202,6.95114,0,0
11/18/11,297.143,300.615,295.033,5.58195,6.67731,0,0
11/21/11,290.18,299.01,294.674,4.33605,6.20905,0,0
11/22/11,289.711,297.579,294.306,3.27304,5.62185,0,0
11/23/11,284.771,295.609,293.6,2.00883,4.89925,0,0
11/25/11,281.219,293.395,292.683,0.712143,4.06183,0,0
11/28/11,293.802,293.458,292.766,0.691833,3.38783,0,0
11/29/11,291.174,293.106,292.648,0.458446,2.80195,0,0
11/30/11,299.396,294.074,293.148,0.926238,2.42681,0,0
12/1/11,306.579,295.998,294.143,1.85518,2.31248,0,0
12/2/11,309.871,298.132,295.308,2.82442,2.41487,1,0
12/5/11,312.513,300.345,296.582,3.7624,2.68438,0,0
12/6/11,311.574,302.072,297.693,4.3795,3.0234,0,0
12/7/11,311.384,303.505,298.707,4.79793,3.37831,0,0
12/8/11,307.718,304.153,299.374,4.77861,3.65837,0,0
12/9/11,313.397,305.575,300.413,5.16207,3.95911,0,0
12/12/11,312.383,306.623,301.3,5.32279,4.23184,0,0
12/13/11,312.503,307.527,302.13,5.39761,4.465,0,0
12/14/11,308.727,307.712,302.618,5.09348,4.59069,0,0
12/15/11,309.461,307.981,303.125,4.85573,4.6437,0,0
12/16/11,312.668,308.702,303.832,4.86994,4.68895,0,0
12/19/11,310.605,308.995,304.334,4.66101,4.68336,0,1
12/20/11,314.871,309.899,305.114,4.78448,4.70358,1,0
12/21/11,312.598,310.314,305.669,4.6454,4.69195,0,1
12/22/11,314.536,310.964,306.325,4.6381,4.68118,0,0
12/23/11,316.254,311.777,307.061,4.71659,4.68826,1,0
12/27/11,319.806,313.013,308.005,5.00764,4.75214,0,0
12/28/11,319.531,314.015,308.859,5.15669,4.83305,0,0
12/29/11,320.88,315.071,309.749,5.32229,4.9309,0,0
12/30/11,322.628,316.234,310.703,5.53084,5.05089,0,0
1/3/12,332.373,318.717,312.308,6.4086,5.32243,0,0
1/4/12,333.807,321.038,313.901,7.13764,5.68547,0,0
1/5/12,329.176,322.29,315.032,7.2581,6,0,0
1/6/12,324.686,322.659,315.747,6.91155,6.18231,0,0
1/9/12,310.92,320.853,315.39,5.46311,6.03847,0,1
1/10/12,311.259,319.377,315.084,4.29313,5.6894,0,0
1/11/12,312.668,318.345,314.905,3.43992,5.23951,0,0
1/12/12,314.506,317.754,314.875,2.87889,4.76738,0,0
1/13/12,312.183,316.897,314.676,2.22124,4.25815,0,0
1/17/12,313.977,316.448,314.624,1.82372,3.77127,0,0
1/18/12,316.139,316.4,314.736,1.66402,3.34982,0,0
1/19/12,319.466,316.872,315.087,1.78532,3.03692,0,0
1/20/12,292.703,313.154,313.429,-0.274957,2.37454,0,0
1/23/12,292.468,309.971,311.876,-1.90473,1.51869,0,0
1/24/12,290.175,306.926,310.269,-3.3428,0.546391,0,0
1/25/12,284.461,303.47,308.357,-4.88724,-0.540336,0,0
1/26/12,283.767,300.438,306.535,-6.09697,-1.65166,0,0
1/27/12,289.701,298.786,305.288,-6.5019,-2.62171,0,0
1/30/12,288.557,297.213,304.049,-6.83631,-3.46463,0,0
1/31/12,289.766,296.067,302.991,-6.92398,-4.1565,0,0
2/1/12,290.125,295.153,302.038,-6.88507,-4.70221,0,0
2/2/12,292.263,294.708,301.314,-6.60558,-5.08289,0,0
2/3/12,297.868,295.194,301.059,-5.86426,-5.23916,0,0
2/6/12,304.241,296.586,301.294,-4.70818,-5.13296,1,0
2/7/12,303.082,297.586,301.427,-3.84121,-4.87461,0,0
2/8/12,304.621,298.668,301.663,-2.99546,-4.49878,0,0
2/9/12,305.425,299.708,301.942,-2.23454,-4.04593,0,0
2/10/12,302.653,300.161,301.995,-1.83407,-3.60356,0,0
2/13/12,305.795,301.027,302.276,-1.24877,-3.1326,0,0
2/14/12,304.576,301.573,302.447,-0.873195,-2.68072,0,0
2/15/12,302.478,301.713,302.449,-0.736346,-2.29185,0,0
2/16/12,302.958,301.904,302.487,-0.582484,-1.94997,0,0
2/17/12,302.019,301.922,302.452,-0.53021,-1.66602,0,0
2/21/12,306.694,302.656,302.766,-0.110253,-1.35487,0,0
2/22/12,303.667,302.811,302.833,-0.0214375,-1.08818,0,0
2/23/12,302.753,302.802,302.827,-0.024528,-0.87545,0,0
2/24/12,304.646,303.086,302.962,0.124349,-0.675491,0,0
2/27/12,304.351,303.281,303.065,0.216062,-0.49718,0,0
2/28/12,308.887,304.143,303.496,0.647259,-0.268292,0,0
2/29/12,308.817,304.862,303.89,0.972137,-0.0202063,0,0
3/1/12,310.89,305.789,304.408,1.38096,0.260026,0,0
3/2/12,310.315,306.486,304.846,1.63969,0.53596,0,0
3/5/12,306.819,306.537,304.992,1.5448,0.737728,0,0
3/6/12,302.178,305.866,304.784,1.08268,0.806718,0,0
3/7/12,303.097,305.44,304.659,0.781593,0.801693,0,1
3/8/12,303.267,305.106,304.556,0.550342,0.751422,0,0
